tokens,labels
that,O
",",O
which,O
is,O
like,O
a,O
big,O
tax,O
cut,O
",",O
to,O
our,O
other,O
good,O
economic,O
news,O
.,O
inflation,O
down,O
(,O
are,O
you,O
listening,O
fed,ORG_B
),O
!,O
,O
,O
date: 2018-12-21,O
today,O
",",O
it,O
was,O
my,O
honor,O
to,O
sign,O
into,O
law,O
h,O
.,O
r,O
.,O
72,O
##13,O
",",O
the,O
“,O
counter,O
##ing,O
weapons,O
of,O
mass,O
destruction,O
act,O
of,O
2018,O
.,O
”,O
the,O
act,O
redesign,O
##ates,O
the,O
@,O
dh,PER_B
##sg,PER_I
##ov,PER_I
domestic,O
nuclear,O
detection,O
office,O
as,O
the,O
counter,O
##ing,O
weapons,O
of,O
mass,O
destruction,O
office,O
.,O
read,O
more,O
:,O
,O
,O
date: 2020-10-29,O
failed,O
rin,PER_B
##o,PER_I
former,O
governor,O
rick,PER_B
sn,PER_I
##yde,PER_I
##r,PER_I
of,O
michigan,LOC_B
was,O
a,O
disaster,O
with,O
respect,O
to,O
the,O
fli,O
##nt,O
water,O
catastrophe,O
",",O
and,O
a,O
very,O
bad,O
governor,O
overall,O
.,O
he,O
hurt,O
so,O
many,O
people,O
with,O
his,O
gross,O
incom,O
##pet,O
##ence,O
.,O
he,O
remind,O
##s,O
me,O
of,O
sleep,O
##y,O
joe,PER_B
!,O
,O
,O
date: 2020-02-20,O
just,O
arrived,O
in,O
colorado,LOC_B
",",O
see,O
everyone,O
soon,O
!,O
,O
,O
date: 2020-11-15,O
progress,O
!,O
,O
,O
date: 2020-04-24,O
great,O
conversation,O
with,O
president,O
len,PER_B
##in,PER_I
more,PER_I
##no,PER_I
of,O
the,O
republic,LOC_B
of,LOC_I
ecuador,LOC_I
.,O
we,O
will,O
be,O
sending,O
them,O
des,O
##perat,O
##ely,O
needed,O
venti,O
##lator,O
##s,O
",",O
of,O
which,O
we,O
have,O
recently,O
manufactured,O
many,O
",",O
and,O
helping,O
them,O
in,O
other,O
ways,O
.,O
they,O
are,O
fighting,O
hard,O
against,O
coro,O
##nav,O
##ir,O
##us,O
!,O
,O
,O
date: 2020-06-09,O
“,O
demo,ORG_B
##cra,ORG_I
##ts,ORG_I
&,O
amp,O
;,O
activis,O
##ts,O
call,O
to,O
def,O
##und,O
police,O
departments,O
.,O
they,O
’,O
ve,O
gone,O
so,O
far,O
left,O
that,O
they,O
eat,O
their,O
young,O
.,O
”,O
@,O
mira,PER_B
##nda,PER_I
##dev,PER_I
##ine,PER_I
@,O
ny,ORG_B
##post,ORG_I
@,O
fox,ORG_B
##and,O
##frie,O
##nds,O
,O
,O
date: 2020-11-05,O
detroit,LOC_B
absent,O
##ee,O
ball,O
##ot,O
counting,O
cha,O
##os,O
",",O
blocke,O
##d,O
windows,O
and,O
observe,O
##rs,O
via,O
@,O
bre,ORG_B
##it,ORG_I
##bar,ORG_I
##tn,ORG_I
##ew,ORG_I
##s,ORG_I
,O
,O
date: 2020-05-03,O
.,O
.,O
.,O
.,O
fa,O
##ke,O
news,O
got,O
it,O
wrong,O
again,O
",",O
as,O
always,O
",",O
and,O
tens,O
of,O
thousands,O
of,O
lives,O
were,O
save,O
##d,O
by,O
my,O
early,O
ban,O
of,O
china,LOC_B
into,O
our,O
country,O
.,O
the,O
people,O
that,O
we,O
’,O
re,O
allowed,O
were,O
heavily,O
scru,O
##tini,O
##zed,O
and,O
tested,O
u,O
.,O
s,O
.,O
citizens,O
",",O
and,O
as,O
such,O
",",O
i,O
welcome,O
them,O
with,O
open,O
arms,O
!,O
,O
,O
date: 2020-09-18,O
on,O
national,O
po,O
##w,O
/,O
mi,O
##a,O
recognition,O
day,O
",",O
the,O
@,O
flo,PER_B
##tus,PER_I
and,O
i,O
honor,O
the,O
men,O
&,O
amp,O
;,O
women,O
of,O
our,O
armed,O
forces,O
who,O
have,O
self,O
##less,O
##ly,O
served,O
our,O
country,O
&,O
amp,O
;,O
made,O
tremendous,O
sacrific,O
##es,O
to,O
defend,O
our,O
liberty,O
.,O
our,O
nation,O
remains,O
committed,O
to,O
accounting,O
for,O
all,O
missing,O
,O
,O
date: 2017-03-28,O
why,O
is,O
##n,O
',O
t,O
the,O
house,ORG_B
intelligence,ORG_I
committee,ORG_I
looking,O
into,O
the,O
bill,O
&,O
amp,O
",",O
hill,PER_B
##ary,PER_I
deal,O
that,O
allowed,O
big,O
uranium,O
to,O
go,O
to,O
russia,LOC_B
",",O
russian,O
speech,O
.,O
.,O
.,O
.,O
,O
,O
date: 2019-03-29,O
beaut,O
##if,O
##ul,O
#,O
mag,O
##ara,O
##lly,O
ton,O
##ight,O
in,O
grand,O
rapid,O
##s,O
",",O
michigan,PER_B
-,O
thank,O
you,O
",",O
i,O
love,O
you,O
!,O
make,O
america,LOC_B
great,O
again,O
!,O
!,O
,O
,O
date: 2018-12-20,O
congress,O
just,O
passed,O
the,O
criminal,O
justice,O
reform,O
bill,O
known,O
as,O
the,O
#,O
first,O
##ste,O
##pac,O
##t,O
.,O
congratulations,O
!,O
this,O
is,O
a,O
great,O
bi,O
-,O
part,O
##isa,O
##n,O
achievement,O
for,O
everybody,O
.,O
when,O
both,O
parties,O
work,O
together,O
we,O
can,O
keep,O
our,O
country,O
safer,O
.,O
a,O
wonderful,O
thing,O
for,O
the,O
u,LOC_B
.,LOC_I
s,LOC_I
.,LOC_I
a,LOC_I
.,LOC_I
!,O
!,O
,O
,O
date: 2019-12-15,O
so,O
now,O
come,O
##y,O
’,O
s,O
admit,O
##ting,O
he,O
was,O
wrong,O
.,O
wo,O
##w,O
",",O
but,O
he,O
’,O
s,O
only,O
doing,O
so,O
because,O
he,O
got,O
caught,O
red,O
hand,O
##ed,O
.,O
he,O
was,O
actually,O
caught,O
a,O
long,O
time,O
ago,O
.,O
so,O
what,O
are,O
the,O
consequences,O
for,O
his,O
unlawful,O
conduct,O
.,O
could,O
it,O
be,O
years,O
in,O
jai,O
##l,O
?,O
where,O
are,O
the,O
apol,O
##ogie,O
##s,O
to,O
me,O
and,O
others,O
",",O
jim,PER_B
?,O
,O
,O
date: 2017-08-10,O
"""",O
"""",O
"""",O
trump,PER_B
approval,O
rebound,O
##s,O
to,O
45,O
%,O
",",O
surge,O
##s,O
among,O
hispanic,O
##s,O
",",O
union,O
homes,O
",",O
men,O
"""",O
"""",O
,O
,O
date: 2018-10-31,O
paul,PER_B
ryan,PER_I
should,O
be,O
focusing,O
on,O
holding,O
the,O
majority,O
rather,O
than,O
giving,O
his,O
opinions,O
on,O
birth,O
##right,O
citizens,O
##hip,O
",",O
something,O
he,O
knows,O
nothing,O
about,O
!,O
our,O
new,O
republic,ORG_B
##an,ORG_I
majority,O
will,O
work,O
on,O
this,O
",",O
closing,O
the,O
immigration,O
loop,O
##hole,O
##s,O
and,O
securing,O
our,O
border,O
!,O
,O
,O
date: 2018-08-13,O
just,O
fired,O
agent,O
str,PER_B
##zo,PER_I
##k,PER_I
",",O
formerly,O
of,O
the,O
fb,ORG_B
##i,ORG_I
",",O
was,O
in,O
charge,O
of,O
the,O
cro,O
##oke,O
##d,O
hill,PER_B
##ary,PER_I
clint,PER_I
##on,PER_I
sham,O
investigation,O
.,O
it,O
was,O
a,O
total,O
fraud,O
on,O
the,O
american,O
public,O
and,O
should,O
be,O
properly,O
red,O
##one,O
!,O
,O
,O
date: 2019-08-31,O
while,O
made,PER_B
##lei,PER_I
##ne,PER_I
west,PER_I
##er,PER_I
##hou,PER_I
##t,PER_I
has,O
a,O
fully,O
enforceable,O
confidentiality,O
agreement,O
",",O
she,O
is,O
a,O
very,O
good,O
person,O
and,O
i,O
don,O
’,O
t,O
think,O
there,O
would,O
ever,O
be,O
reason,O
to,O
use,O
it,O
.,O
she,O
called,O
me,O
yesterday,O
to,O
apologize,O
",",O
had,O
a,O
bad,O
night,O
.,O
i,O
fully,O
understood,O
and,O
for,O
##ga,O
##ve,O
her,O
!,O
i,O
love,O
tiffany,PER_B
",",O
doing,O
great,O
!,O
,O
,O
date: 2019-10-12,O
louisiana,PER_B
—,O
tomorrow,O
",",O
you,O
will,O
head,O
to,O
the,O
poll,O
##s,O
and,O
vote,O
to,O
replace,O
libera,O
##l,O
demo,O
##cra,O
##t,O
john,O
bel,O
edwards,O
with,O
a,O
great,O
new,O
republic,O
##an,O
governor,O
!,O
get,O
out,O
and,O
vote,O
for,O
either,O
@,O
doc,PER_B
##abr,PER_I
##ah,PER_I
##am,PER_I
or,O
@,O
edd,PER_B
##ier,PER_I
##is,PER_I
##pon,PER_I
##e,PER_I
(,O
both,O
great,O
),O
!,O
,O
,O
date: 2019-04-06,O
.,O
.,O
.,O
.,O
it,O
’,O
s,O
powerful,O
common,O
sense,O
immigration,O
laws,O
to,O
stop,O
illegal,O
##s,O
from,O
coming,O
through,O
mexico,LOC_B
into,O
the,O
u,O
.,O
s,O
.,O
",",O
and,O
removing,O
them,O
back,O
to,O
their,O
country,O
of,O
origin,O
.,O
until,O
mexico,ORG_B
clean,O
##s,O
up,O
this,O
rid,O
##icul,O
##ous,O
&,O
amp,O
",",O
massive,O
migration,O
",",O
we,O
will,O
be,O
focusing,O
on,O
border,O
security,O
",",O
not,O
ports,O
of,O
entry,O
.,O
.,O
.,O
.,O
,O
,O
date: 2018-05-10,O
gin,PER_B
##a,PER_I
has,PER_I
##pel,PER_I
did,O
a,O
spectac,O
##ular,O
job,O
today,O
.,O
there,O
is,O
nobody,O
even,O
close,O
to,O
run,O
the,O
cia,O
!,O
,O
,O
date: 2019-04-18,O
presidential,O
har,O
##ass,O
##ment,O
!,O
,O
,O
date: 2020-05-17,O
ph,PER_B
##yl,PER_I
##lis,PER_I
george,PER_I
was,O
a,O
great,O
person,O
and,O
a,O
true,O
pioneer,O
for,O
women,O
in,O
television,O
.,O
the,O
nfl,O
could,O
not,O
have,O
made,O
a,O
better,O
“,O
pick,O
”,O
when,O
they,O
choose,O
ph,PER_B
##yl,PER_I
##lis,PER_I
to,O
be,O
the,O
first,O
wo,O
##man,O
to,O
represent,O
them,O
.,O
also,O
",",O
a,O
wonderful,O
first,O
lad,O
##y,O
of,O
kentucky,LOC_B
as,O
the,O
wi,O
##fe,O
of,O
gov,O
.,O
john,PER_B
y,PER_I
.,PER_I
brown,PER_I
.,O
.,O
.,O
.,O
,O
,O
