tokens,labels
united,LOC_B
states,LOC_I
are,O
a,O
great,O
partnership,O
and,O
will,O
be,O
a,O
very,O
formidable,O
trading,O
force,O
.,O
we,O
will,O
now,O
",",O
because,O
of,O
the,O
us,O
##mc,O
##a,O
",",O
work,O
very,O
well,O
together,O
.,O
great,O
spirit,O
!,O
,O
,O
date: 2019-09-04,O
the,O
truth,O
is,O
that,O
we,O
have,O
a,O
nation,O
that,O
is,O
disg,O
##ust,O
##ed,O
with,O
the,O
fb,ORG_B
##i,ORG_I
.,O
we,O
have,O
a,O
crisis,O
of,O
confidence,O
in,O
the,O
number,O
one,O
law,O
enforcement,O
agency,O
in,O
this,O
country,O
(,O
thanks,O
come,PER_B
##y,PER_I
!,O
),O
.,O
@,O
lou,PER_B
##do,PER_I
##bb,PER_I
##s,PER_I
“,O
it,O
’,O
s,O
a,O
scand,O
##al,O
.,O
”,O
@,O
alan,PER_B
##ders,PER_I
##h,PER_I
,O
,O
date: 2017-02-25,O
fa,O
##ke,O
news,O
media,O
knowingly,O
does,O
##n,O
',O
t,O
tell,O
the,O
truth,O
.,O
a,O
great,O
dang,O
##er,O
to,O
our,O
country,LOC_B
.,O
the,O
failing,O
@,O
ny,ORG_B
##times,ORG_I
has,O
become,O
a,O
jo,O
##ke,O
.,O
likewise,O
@,0
cn,ORG_B
##n,ORG_I
.,O
sad,O
!,O
,O
,O
date: 2018-08-25,O
big,O
story,O
out,O
that,O
the,O
fb,ORG_B
##i,ORG_I
ignore,O
##d,O
tens,O
of,O
thousands,O
of,O
cro,O
##oke,O
##d,O
hill,PER_B
##ary,PER_I
email,O
##s,O
",",O
many,O
of,O
which,O
are,O
really,O
bad,O
.,O
also,O
gave,O
false,O
election,O
info,O
.,O
i,O
feel,O
sure,O
that,O
we,O
will,O
soon,O
be,O
getting,O
to,O
the,O
bottom,O
of,O
all,O
of,O
this,O
corruption,O
.,O
at,O
some,O
point,O
i,O
may,O
have,O
to,O
get,O
involved,O
!,O
,O
,O
date: 2019-05-04,O
rt,O
@,O
ans,PER_B
##hu,PER_I
##lb,PER_I
##lp,PER_I
##199,PER_I
##6,PER_I
:,O
@,O
real,PER_B
##don,PER_I
##ald,PER_I
##tru,PER_I
##mp,PER_I
,O
,O
date: 2018-11-07,O
.,O
.,O
.,O
.,O
unb,O
##eliev,O
##ably,O
lucky,O
to,O
have,O
him,O
and,O
i,O
’,O
m,O
just,O
awe,O
##d,O
at,O
how,O
well,O
they,O
’,O
ve,O
done,O
.,O
it,O
’,O
s,O
all,O
the,O
trump,PER_B
magic,O
-,O
trump,PER_B
is,O
the,O
magic,O
man,O
.,O
incredible,O
",",O
he,O
’,O
s,O
got,O
the,O
entire,O
media,O
against,O
him,O
",",O
attack,O
##ing,O
him,O
every,O
day,O
",",O
and,O
he,O
pull,O
##s,O
out,O
these,O
enormous,O
wins,O
.,O
”,O
ben,O
stein,O
",",O
“,O
the,O
capitali,O
##st,O
code,O
”,O
,O
,O
date: 2019-11-10,O
totally,O
!,O
,O
,O
date: 2018-10-18,O
.,O
@,O
stated,ORG_B
##ept,ORG_I
@,O
sec,PER_B
##po,PER_I
##mpe,PER_I
##o,PER_I
outside,O
of,O
the,O
west,O
wing,O
after,O
our,O
meeting,O
this,O
morning,O
in,O
the,O
ova,O
##l,O
office,O
.,O
.,O
.,O
,O
,O
date: 2018-10-30,O
congress,ORG_B
##wo,O
##man,O
@,O
cath,PER_B
##ym,PER_I
##cm,PER_I
##or,PER_I
##ris,PER_I
of,O
washington,LOC_B
state,LOC_I
is,O
an,O
incredible,O
leader,O
who,O
is,O
respected,O
by,O
everyone,O
in,O
congress,ORG_B
.,O
we,O
need,O
her,O
bad,O
##ly,O
in,O
d,O
.,O
c,O
.,O
to,O
keep,O
building,O
on,O
#,O
mag,O
##a,O
.,O
she,O
has,O
my,O
strong,O
endorsement,O
!,O
,O
,O
date: 2018-09-01,O
“,O
i,O
think,O
today,O
what,O
has,O
happened,O
is,O
that,O
news,O
reporting,O
has,O
become,O
part,O
of,O
the,O
adve,O
##rsa,O
##ry,O
system,O
.,O
”,O
alan,PER_B
der,PER_I
##sho,PER_I
##witz,PER_I
it,O
has,O
become,O
tai,O
##nted,O
and,O
corrupt,O
!,O
dj,O
##t,O
,O
,O
date: 2018-10-31,O
our,O
military,O
is,O
being,O
mobili,O
##zed,O
at,O
the,O
southern,LOC_B
border,LOC_I
.,O
many,O
more,O
tro,O
##ops,O
coming,O
.,O
we,O
will,O
not,O
let,O
these,O
car,O
##ava,O
##ns,O
",",O
which,O
are,O
also,O
made,O
up,O
of,O
some,O
very,O
bad,O
thu,O
##gs,O
and,O
gan,O
##g,O
members,O
",",O
into,O
the,O
u,LOC_B
.,LOC_I
s,LOC_I
.,LOC_I
our,O
border,O
is,O
sac,O
##red,O
",",O
must,O
come,O
in,O
legally,O
.,O
turn,O
around,O
!,O
,O
,O
date: 2020-05-22,O
congress,PER_B
##man,PER_I
mike,PER_I
kelly,PER_I
(,O
@,0
mike,PER_B
##kel,PER_I
##ly,PER_I
##for,PER_I
##pa,PER_I
),O
is,O
an,O
incredible,O
advocate,O
for,O
pennsylvania,LOC_B
!,O
he,O
fight,O
##s,O
to,O
lower,O
your,O
taxes,O
",",O
create,O
jobs,O
",",O
protect,O
our,O
borders,O
",",O
and,O
defend,O
the,O
second,O
amendment,O
.,O
mike,PER_B
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
#,O
pa,O
##16,O
,O
,O
date: 2018-10-11,O
thank,O
you,O
eri,PER_B
##e,PER_I
",",O
pennsylvania,LOC_B
!,O
remember,O
to,O
get,O
out,O
and,O
vote,O
!,O
#,O
[UNK],0
,O
,O
date: 2019-05-01,O
rt,O
@,O
jc,PER_B
##ry,PER_I
##pto,PER_I
##see,PER_I
##d,PER_I
:,O
@,O
db,PER_B
##ong,PER_I
##ino,PER_I
never,PER_I
supporting,PER_I
a,O
fire,O
##man,O
',O
s,O
ball,O
again,O
.,O
.,O
.,O
,O
,O
date: 2019-11-01,O
oh,O
no,O
",",O
bet,O
##o,O
just,O
dropped,O
out,O
of,O
race,O
for,O
president,O
despite,O
him,O
saying,O
he,O
was,O
“,O
born,O
for,O
this,O
.,O
”,O
i,O
don,O
’,O
t,O
think,O
so,O
!,O
,O
,O
date: 2020-11-15,O
tax,O
filings,O
reveal,O
bid,PER_B
##en,PER_I
cancer,O
charit,O
##y,O
spent,O
millions,O
on,O
salaries,O
",",O
zero,O
on,O
research,O
via,O
@,O
ny,ORG_B
##post,ORG_I
,O
,O
date: 2018-12-11,O
fa,O
##ke,O
news,O
has,O
it,O
purpose,O
##ly,O
wrong,O
.,O
many,O
",",O
over,O
ten,O
",",O
are,O
vy,O
##ing,O
for,O
and,O
wanting,O
the,O
white,LOC_B
house,LOC_I
chief,O
of,O
staff,O
position,O
.,O
why,O
would,O
##n,O
’,O
t,O
someone,O
want,O
one,O
of,O
the,O
truly,O
great,O
and,O
meaningful,O
jobs,O
in,O
washington,LOC_B
.,O
please,O
report,O
news,O
correctly,O
.,O
thank,O
you,O
!,O
,O
,O
date: 2020-09-23,O
our,O
great,O
rally,O
ton,O
##ight,O
in,O
pennsylvania,LOC_B
.,O
tremendous,O
energy,O
!,O
#,O
mag,O
##a,O
,O
,O
date: 2020-08-01,O
peg,PER_B
##gy,PER_I
noo,PER_I
##nan,PER_I
",",O
a,O
“,O
conc,O
##ast,O
”,O
msd,ORG_B
##nc,ORG_I
@,O
ws,ORG_B
##j,ORG_I
pu,O
##ppe,O
##t,O
",",O
does,O
##n,O
’,O
t,O
have,O
a,O
clu,O
##e,O
",",O
and,O
has,O
##n,O
’,O
t,O
for,O
many,O
years,O
.,O
never,O
got,O
the,O
“,O
trump,PER_B
thing,O
”,O
.,O
she,O
plays,O
right,O
into,O
the,O
hands,O
of,O
the,O
stu,O
##pid,O
people,O
!,O
,O
,O
date: 2020-04-03,O
the,O
pay,O
##che,O
##ck,O
protection,O
program,O
is,O
now,O
available,O
!,O
#,O
care,O
##sa,O
##ct,O
small,O
business,O
guidance,O
&,O
amp,O
;,O
loan,O
resources,O
:,O
,O
,O
date: 2018-01-12,O
sad,O
##ly,O
",",O
demo,PER_B
##cra,PER_I
##ts,PER_I
want,O
to,O
stop,O
paying,O
our,O
tro,O
##ops,O
and,O
government,ORG_B
workers,O
in,O
order,O
to,O
give,O
a,O
sweet,O
##hea,O
##rt,O
deal,O
",",O
not,O
a,O
fair,O
deal,O
",",O
for,O
dac,O
##a,O
.,O
take,O
care,O
of,O
our,O
military,O
",",O
and,O
our,O
country,O
",",O
first,O
!,O
,O
,O
date: 2020-09-12,O
congratulations,O
!,O
#,O
mag,O
##a,O
,O
,O
date: 2019-11-04,O
big,O
rally,O
in,O
kentucky,LOC_B
ton,O
##ight,O
for,O
a,O
man,O
who,O
has,O
worked,O
really,O
hard,O
&,O
amp,O
",",O
done,O
a,O
great,O
job,O
",",O
gov,O
@,O
matt,PER_B
##be,PER_I
##vin,PER_I_I
.,O
kentucky,LOC_B
is,O
having,O
the,O
best,O
economic,O
year,O
ever,O
under,O
matt,PER_B
’,O
s,O
leadership,O
.,O
he,O
is,O
a,O
fantastic,O
guy,O
who,O
love,O
##s,O
our,O
military,O
",",O
our,O
vet,O
##s,O
and,O
our,O
2a,O
.,O
vote,O
tuesday,O
!,O
,O
,O
date: 2018-09-03,O
i,O
see,O
that,O
john,PER_B
kerry,PER_I
",",O
the,O
fat,O
##her,O
of,O
the,O
now,O
terminated,O
iran,LOC_B
deal,O
",",O
is,O
thinking,O
of,O
running,O
for,O
president,0
.,O
i,O
should,O
only,O
be,O
so,O
lucky,O
-,O
although,O
the,O
field,O
that,O
is,O
currently,O
asse,O
##mbl,O
##ing,O
looks,O
really,O
good,O
-,O
for,O
me,O
!,O
,O
,O
date: 2019-09-29,O
his,O
lies,O
were,O
made,O
in,O
perhaps,O
the,O
most,O
bla,O
##tant,O
and,O
sin,O
##ister,O
manner,O
ever,O
seen,O
in,O
the,O
great,O
chamber,O
.,O
he,O
wrote,O
down,O
and,O
read,O
terribl,O
##e,O
things,O
",",O
then,O
said,O
it,O
was,O
from,O
the,O
mouth,O
of,O
the,O
president,O
of,O
the,O
united,LOC_B
states,LOC_I
.,O
i,O
want,O
schi,O
##ff,O
questione,O
##d,O
at,O
the,O
highest,O
level,O
for,O
fraud,O
&,O
amp,O
",",O
trea,O
##son,O
.,O
.,O
.,O
.,O
.,O
,O
,O
date: 2019-06-19,O
thank,O
you,O
!,O
#,O
[UNK],O
,O
,O
