Date,Sentence,Found Entities,Matched Companies,Matched Tickers,Sentiment
 2020-10-16,rr ##ell is great . he has my complete and total endorsement . he will never let you down . war ##rior ! ! ! ,[],[],[],
 2020-10-16,"son wrote a new book . it is fantastic . order it now , make jason # 1 - he deserves it ! ! ","['jason', 'jason']",[],[],
 2020-10-16,ama ##gate ,['obama'],[],[],
 2020-10-16,13 . 9m is heading to new orleans in @ usd ##ot funding for @ new ##orl ##ean ##sr ##ta ! happy to support bus service and major fleet improvements for the great people of louisiana and help them keep moving safely ,"['new', 'orleans', 'louisiana']",[],[],
 2020-05-25," ##ke news always “ forget ##s ” to mention that far fewer people are dy ##ing when they get cov ##id . this is do to both our advanced therapeutics , and the gained knowledge of our great doctors , nurses and front line workers ",[],[],[],
 2020-08-12,a pennsylvania appeals court turns down the trump administration ##s request for poll watche ##rs to monitor satellite election offices . ” @ oa ##nn how terribl ##e is this ? we are just seeking a fair vote count . this can only lead to very bad things . bad intentions much ? ? ? disg ##rac ##ef ##ul ! ! ,"['pennsylvania', 'trump', 'administration']",[],[],
 2020-11-21,"w 73 , 000 , 000 legal votes ",[],[],[],
 2020-10-26,e media is just as corrupt as the election itself ,[],[],[],
 2020-11-12,ll be doing an interview with @ maria ##bar ##ti ##rom ##o at 10 : 00 a . m . on @ fox ##new ##s . enjoy ,"['maria', 'fox']",['fox'],['FOXA'],"[{'label': 'neutral', 'score': 0.9998704195022583}]"
 2020-11-21,"st don ’ t see any way nancy pel ##osi and cry ##in ’ chuck schu ##mer will be willing to do what is right for our great american workers , or our wonderful usa itself , on stimulus . their primary focus is bail ##ing out poorly run ( and high crime ) demo ##cra ##t cities and states . . . ","['nancy', 'pel', 'chuck', 'schu']",[],[],
 2020-11-29,"@ jim ##ob ##er ##wei ##s will be a terrific congress ##man for illinois ! a successful business ##man , he will create jobs , lower taxes , defend law & amp ; order , and protect your second amendment from the radical left . jim has my complete and total endorsement ! # il ##1","['illinois', 'jim']",[],[],
 2020-10-21,"ic ess ##ha ##ki ( @ ess ##ha ##ki ##con ##gress ) will be a tremendous advocate for michigan and the first chal ##de ##an in congress ! he will help us lower your taxes , defend your second amendment and deliver great healthcare . eric has my complete and total endorsement ! # mi ##1","['eric', 'ess', 'michigan', 'congress', 'eric']",[],[],
 2020-10-21,n ##ight at 9 : 00 p . m . enjoy ,[],[],[],
 2020-10-21,". . p . s . tony should stop wear ##ing the washington national ##s ’ mask for two reasons . number one , it is not up to the high standards that he should be exposing . number two , it keeps remind ##ing me that tony th ##re ##w out perhaps the worst first pitch in the history of baseball ","['tony', 'washington', 'national', 'tony']",[],[],
 2020-09-15," . tony fauc ##i says we don ’ t allow him to do television , and yet i saw him last night on @ 60m ##inu ##tes , and he seems to get more airt ##ime than anybody since the late , great , bob hope . all i ask of tony is that he make better decisions . he said “ no mask ##s & amp ; let china in ” . also , bad arm ","['tony', 'fauc', 'bob', 'hope', 'tony', 'china']",[],[],
 2020-10-19,"eat news ! new government of su ##dan , which is making great progress , agreed to pay $ 335 million to u . s . ter ##ror vic ##tim ##s and families . once deposited , i will lift su ##dan from the state sponsors of terrorism list . at long last , justice for the american people and big step for su ##dan ","['u', '.', 's', '.', 'ter']",[],[],
 2020-10-19,ading for arizona . see you soon ,['arizona'],[],[],
 2020-10-19,". . . there has never been more enthusiasm or spirit , by everyone . great fun , and so good for our country . already winning many states , but not reported . bid ##en put the lid on again - raising money with promises . they finally caught him , cold , and he knows it . laptop is deva ##stati ##ng ",[],[],[],
 2020-10-19,mag ##gie ##ny ##t there has never been a time in either of my two campaigns when i felt we had a stronger chance of winning than we do right now . early voting reports look far stronger than originally anticipated . every rally is bo ##ffo . @ mark ##mea ##do ##ws & amp ; team are doing a fantastic job . . . ,['amp'],[],[],
 2020-10-19,". . . the cour ##age to do what has to be done to maintain the integrity of our elections , and the united states of america itself . the world is watching ! ! ","['united', 'states', 'of', 'america']",[],[],
 2020-10-19,"y is joe bid ##en so quickly forming a cabinet when my investigators have found hundreds of thousands of fraudulent votes , enough to “ flip ” at least four states , which in turn is more than enough to win the election ? hopefully the courts and / or legislatures will have . . . ",['joe'],[],[],
 2020-11-22,"st week , joe bid ##en made perhaps the most shock ##ing admission ever ut ##tere ##d in the history of presidential debate ##s . on live television , joe bid ##en confirmed his plan to abo ##lis ##h the entire u . s . oil industry — that means no frac ##king , no jobs , and no energy for pennsylvania families ","['joe', 'joe', 'u', 's', '.', 'pennsylvania']",[],[],
 2020-11-22,"second georgia county finds thousands more votes , majority are for trump ","['georgia', 'trump']",[],[],
 2020-10-26,ppening all over usa . no wonder california is never in play for republic ##ans . rig ##ged election ,"['usa', 'california', 'republic']",[],[],
 2020-11-18,"te trump to save your second amendment , virginia ","['trump', 'virginia']",[],[],
 2020-10-21," ##j editorial board : joe bid ##en must answer questions about hunter bid ##en and china via @ bre ##it ##bar ##tn ##ew ##s joe bid ##en is a totally corrupt polit ##icia ##n , and got caught . at least now he won ’ t be able to raise your taxes - biggest increase in u . s . history ","['editorial', 'board', 'joe', 'hunter', 'china', 'bre', 'u', '.', 's', '.']",[],[],
 2020-10-21,"d ##en sought ‘ grand bargain ’ to reduce deficit through cuts to social security via @ bre ##it ##bar ##tn ##ew ##s joe bid ##en pushed hard to cut your social security . if elected , he will do it again . i won ’ t , never ! ! ",['bre'],[],[],
 2020-10-21,ank you pennsylvania ,['pennsylvania'],[],[],
 2020-10-21,ll be interview ##ed on @ fox ##and ##frie ##nds at 8 : 00 a . m . enjoy ,['fox'],['fox'],['FOXA'],"[{'label': 'neutral', 'score': 0.9998830556869507}]"
 2020-10-21,"ank you tuc ##son , arizona ! together , we are going to make america great again ! ",['arizona'],[],[],
 2020-10-20,ading for tuc ##son . see you in a little while . winning arizona ,"['tuc', 'arizona']",[],[],
 2020-10-19,"ank you arizona ! together , we are going to make america great again ",[],[],[],
 2020-10-19,"st arriving in presc ##ott , what a crowd ! i love arizona ! ",['arizona'],[],[],
 2020-10-19, ##w ! michigan just refuse ##d to certify the election results ! having cour ##age is a beaut ##if ##ul thing . the usa stands proud ,"['michigan', 'usa']",[],[],
 2020-10-19,"is is not at all fri ##vol ##ous . it is brought on behalf of one of the most respected members of the united states congress who is disg ##ust ##ed , like so many others , by an election that is a fraudulent mess . fa ##ke ball ##ot ##s , dead people voting , no republic ##an poll watche ##rs allowed , & amp ; more ","['united', 'states', 'congress', 'amp']",[],[],
 2020-11-18,perfect strike for the american people ,[],[],[],
 2020-11-22,". . . washington wants nothing to do with him , and that ’ s so bad for new york , which has become a gh ##ost town . andrew spends too much time listening to his broth ##er , fred ##o . forget the books and your apol ##ogy tour . the federal government would love to help new york regain its lu ##ster ","['washington', 'new', 'york', 'andrew', 'fred', 'apol', 'federal', 'new', 'york']",[],[],
 2020-10-19,"vernor cu ##omo has shown tremendous ##ly poor leadership skills in running n . y . bad time for him to be writing and promoting a book , especially since he has done such a poor job with cov ##id and crime . so many unnecessary deaths . the city & amp ; state have sun ##k to historic lows . . ","['n', '.', 'y', 'city', 'amp']",[],[],
 2020-10-19,ltiple pro - trump demonstration ##s planned in cincinnati area via @ bre ##it ##bar ##tn ##ew ##,"['cincinnati', 'bre']",[],[],
 2020-10-19,nnsylvania trump vote ##rs show passion : ‘ he ‘ s a man that wants to do it all for america ‘ via @ bre ##it ##bar ##tn ##ew ##,"['pennsylvania', 'trump', 'bre']",[],[],
 2020-10-21,"ngress ##man dar ##in la ##hood ( @ elect ##la ##hood ) is a fight ##er for illinois ! a strong support ##er of our # mag ##a agenda , he is helping us drain the swa ##mp , deliver for our farmers , and defend your second amendment . dar ##in has my complete and total endorsement ! # il ##1","['congress', 'la', 'illinois']",[],[],
 2020-10-21,"ngress ##man ken buck ( @ buck ##for ##colo ##rad ##o ) is a champion for the incredible people of colorado ! he is strong on law & amp ; order , low taxes , border security , our military & amp ; vet ##s , and he will always defend your second amendment . ken has my complete and total endorsement ! # co ##0","['congress', 'ken', 'buck', 'colorado', 'ken']",[],[],
 2020-10-21,"n ##ator @ cin ##dy ##hy ##des ##mith delivers for mississippi ! she helped us cut your taxes , secure our border , and defend the second amendment . cin ##dy ' s opp ##onent , mike esp ##y , is a corrupt polit ##icia ##n who will raise your taxes and open your borders ! vote for cin ##dy ! # ms ##se","['mississippi', 'mike', 'esp']",[],[],
 2020-10-21,. . everyone should compare this terribl ##e elect ##oral intrusion with the recent interview ##s of sleep ##y joe bid ##en ,['joe'],[],[],
 2020-10-21,"@ fox ##new ##s poll ##s are totally fa ##ke , just like they were in 2016 . i am leading in all of the states mentioned , which you will soon see . i thought fox was getting rid of its poll ##ster . sad ##ly , it never happened ","['fox', 'fox']","['fox', 'fox']",['FOXA'],"[{'label': 'neutral', 'score': 0.9995819926261902}]"
 2020-10-20,. . . to be around to vote for president trump . ” over 300 wins and 2 national champion ##ship ##s . thank you to florida state for giving us bob ##by bow ##den ,"['trump', 'national', 'champion', 'florida', 'bow']",[],[],
 2020-10-22,"e great bob ##by bow ##den , one of the best coach ##es ever in college football , on his full recovery from cov ##id - 19 “ . . . . america is the greatest country this side of hea ##ven . i ’ ve had a chance to get a lot of wins in my life , but i really wanted to win this one because i wanted . . . ","['cov', 'america']",[],[],
 2020-10-22,rginia ,['virginia'],[],[],
 2020-10-22," have some big things happening in our various litigation ##s on the election ho ##ax . everybody knows it was rig ##ged . they know bid ##en did ##n ’ t get more votes from the black community than obama , & amp ; certainly did ##n ’ t get 80 , 000 , 000 votes . look what happened in detroit , philadelphia , plus ","['obama', 'amp', 'detroit', 'philadelphia']",[],[],
 2020-10-22, great honor ,[],[],[],
 2020-11-30,"clusive : forgo ##tte ##n by obama - bid ##en auto bail ##out , delphi workers refuse to forget what was taken from them ( part one ) via @ bre ##it ##bar ##tn ##ew ##s bid ##en was a disaster on this . all talk and no action . remember and vote ","['obama', 'delphi', 'bre']",[],[],
 2020-10-22,"ll , there were hundreds of thousands of votes cast where republic ##an poll watche ##rs were not allowed to “ watch ” , not even allowed in the counting rooms . likewise with fa ##ke ball ##ot ##s cast and dead people voting ","['republic', 'fa']",[],[],
 2020-10-21,s ##ley sta ##hl of 60 minutes not wear ##ing a mask in the white house after her interview with me . much more to come ,"['white', 'house']",[],[],
 2020-11-22,ump predicts 35 % growth in q3 - - ‘ we ‘ re coming back stronger ‘ via @ bre ##it ##bar ##tn ##ew ##s would be biggest ever ,"['trump', 'bre']",[],[],
 2020-10-20,nc ##e : vote ##rs know bid ##en and harris ‘ are going to pack the court ‘ via @ bre ##it ##bar ##tn ##ew ##s . with the radical left . can ’ t let this happen . vote ,"['harris', '‘', 'bre']",[],[],
 2020-10-24,esidential promises kept : justice barrett will fairly apply and honor the law for decades via @ bre ##it ##bar ##tn ##ew ##,"['justice', 'barrett', 'bre']",[],[],
 2020-10-24,r ##ney : joe bid ##en ‘ s energy plan would evi ##sc ##erate wisconsin sand miner ##s via @ bre ##it ##bar ##tn ##ew ##,['bre'],[],[],
 2020-10-24, appr ##enti ##ce champion . check out his very interesting new book ,[],[],[],
 2020-10-24,"ick stop in north carolina with a wonderful indian tribe , and guests . then off to two big ral ##lie ##s in ohio and wisconsin . see you later ! ! ","['north', 'carolina', 'ohio', 'wisconsin']",[],[],
 2020-10-24,"ump : bid ##en works for big tech , big media — they keep scand ##als quiet via @ bre ##it ##bar ##tn ##ew ##","['trump', 'bre']",[],[],
 2020-10-24, attempted to alter our election and got caught ,[],[],[],
 2020-10-24,"@ 60m ##inu ##tes never asked us for a comment about their rid ##icul ##ous , one side ##d story on election security , which is an international jo ##ke . our 2020 election , from poorly rated dominion to a country flood ##ed with una ##cco ##unted for mail - in ball ##ot ##s , was probably our least secure ever ",['dominion'],['dominion'],['D'],"[{'label': 'neutral', 'score': 0.5292398929595947}]"
 2020-11-12,"ank you martin ##sburg , pennsylvania ! # mag ##","['martin', 'pennsylvania']",[],[],
 2020-11-30,t well soon ,[],[],[],
 2020-10-26,"rry liz , can ’ t accept the results of an election with hundreds of thousands of fraudulent votes cast , enough to easily flip the election . you ’ re just unh ##app ##y that i ’ m bringing the tro ##ops back home where they belong ",['liz'],[],[],
 2020-11-30,e bid ##en called me george yesterday . could ##n ’ t remember my name . got some help from the anchor to get him through the interview . the fa ##ke news cart ##el is working overtime to cover it up ,"['joe', 'bid', 'george', 'fa']",[],[],
 2020-11-22,eat news ! is fa ##ke news @ 60m ##inu ##tes watching this ,[],[],[],
 2020-10-26," have made tremendous progress with the china virus , but the fa ##ke news refuse ##s to talk about it this close to the election . cov ##id , cov ##id , cov ##id is being used by them , in total coordination , in order to change our great early election numbers . should be an election law violation ","['china', 'cov']",[],[],
 2020-11-30,"demo ##cra ##ts suffered crush ##ing down - ball ##ot loss across america . ” @ ny ##times . this is true . all state ##house ##s won , and in washington we did great . so i led this great charge , and i ’ m the only one that lost ? no , it does ##n ’ t work that way . this was a massive fraud , a rig ##ged election ","['america', 'ny', 'washington']",[],[],
 2020-10-26,ree big ral ##lie ##s today . heading to pennsylvania . i have plenty to say about the dish ##one ##sty of the media and sleep ##y joe . a terribl ##e cover ##up is happening in our country ! ! ,"['pennsylvania', 'dish', 'joe']",[],[],
 2020-11-30,. . . will appeal ! ! ,[],[],[],
 2020-10-26,"anks mark . it ’ s all a continuation of the never ending wit ##ch hunt . judge bran ##n , who would not even allow us to present our case or evidence , is an appointment of sen ##ator pat “ no tariffs ” too ##me ##y of pennsylvania , no frie ##nd of mine , & amp ; obama - no wonder . 900 , 000 fraudulent votes ","['mark', 'bran', '##n', 'pennsylvania', 'obama']",[],[],
 2020-11-22,ke america great again ,[],[],[],
 2020-11-22, are winning big on the voting numbers . get out and vote . bigger than 2016 ! ! ,[],[],[],
 2020-10-26,"ey never thought a vaccine could be done so soon but don ’ t worry , they will try to give the credit to bid ##en ",[],[],[],
 2020-10-26,". . based on decisions being rendered now , this list is more important than ever before ( second amendment , right to life , reli ##go ##us liberty , etc . ) – vote 2020 ",[],[],[],
 2020-11-22,"nnsylvania can lead the way , just like it did many years ago . very important things happening ",['pennsylvania'],[],[],
 2020-06-18,g problems and discrepanc ##ies with mail in ball ##ot ##s all over the usa . must have final total on november 3rd ,"['ball', 'usa']",['ball'],['BALL'],"[{'label': 'neutral', 'score': 0.9998754262924194}]"
 2020-11-30,"ses up because we test , test , test . a fa ##ke news media cons ##pir ##acy . many young people who heal very fast . 99 . 9 % . corrupt media cons ##pir ##acy at all time high . on november 4th . , topic will totally change . vote ",[],[],[],
 2020-10-26,ue ,[],[],[],
 2020-10-26,"e fa ##ke news media is rid ##ing cov ##id , cov ##id , cov ##id , all the way to the election . lose ##rs ",['media'],[],[],
 2020-11-22, way we lost this election ,[],[],[],
 2020-10-26,dominion - i ##zing the vote ” part two via @ oa ##nn @ chan ##el ##rio ##,['dominion'],['dominion'],['D'],"[{'label': 'neutral', 'score': 0.999886155128479}]"
 2020-11-30,dominion - i ##zing the vote ” part one via @ oa ##nn @ chan ##el ##rio ##,['dominion'],['dominion'],['D'],"[{'label': 'neutral', 'score': 0.9998869895935059}]"
 2020-11-22,"’ m not fighting for me , i ’ m fighting for the 74 , 000 , 000 million people ( not including the many trump ball ##ot ##s that were “ tos ##sed ” ) , a record for a sitting president , who voted for me ",[],[],[],
 2020-11-22,dominion - i ##zing the vote ” part three via @ oa ##nn @ chan ##el ##rio ##,['dominion'],['dominion'],['D'],"[{'label': 'neutral', 'score': 0.999885082244873}]"
 2020-11-30,"ank you ! # mag ##a   . . . . also , quickly check the number of envelope ##s versus the number of ball ##ot ##s . you may just find that there are many more ball ##ot ##s than there are envelope ##s . so simple , and so easy to do . georgia republic ##ans are ang ##ry , all republic ##ans are ang ##ry . get it done ","['#', 'mag', '##a', '', '', 'georgia', 'republic', 'republic']",[],[],
 2020-11-22,"y won ’ t governor @ brian ##ke ##mp ##ga , the hap ##less governor of georgia , use his emergency powers , which can be easily done , to over ##ru ##le his obs ##tin ##ate secretary of state , and do a match of signature ##s on envelope ##s . it will be a “ gold ##mine ” of fraud , and we will easily win the state . . . ","['brian', 'georgia']",[],[],
 2020-10-26,. . . will appeal ,[],[],[],
 2020-11-30,"anks mark . it ’ s all a continuation of the never ending wit ##ch hunt . judge bran ##n , who would not even allow us to present our case or evidence , is a product of sen ##ator pat “ no tariffs ” too ##me ##y of pennsylvania , no frie ##nd of mine , & amp ; obama - no wonder . 900 , 000 fraudulent votes ","['mark', 'bran', '##n', 'pennsylvania', 'obama']",[],[],
 2020-11-30,"ank you allen ##town , pennsylvania ! together , we are going to make america great again ","['allen', 'pennsylvania']",[],[],
 2020-11-22," took long enough ! what is taking north carolina so long ? are they looking for more ball ##ot ##s to fix that one also ? now with a reco ##unt , we will win georgia also . pennsylvania & amp ; michigan would ##n ’ t let our poll watche ##rs & amp ; observe ##rs into counting rooms . illegal ","['north', 'carolina', 'georgia', 'pennsylvania', 'amp', 'michigan']",[],[],
 2020-11-22,"e great state of michigan , with votes being far greater than the number of people who voted , cannot certify the election . the demo ##cra ##ts che ##ated big time , and got caught . a republic ##an win ",['michigan'],[],[],
 2020-10-26," detroit , there are far more votes than people . nothing can be done to cure that giant sca ##m . i win michigan ","['detroit', 'sca', 'michigan']",[],[],
 2020-11-12,"ayed this video at today ’ s rally in allen ##town , pennsylvania — a must watch ","['allen', 'pennsylvania']",[],[],
 2020-11-18,"ank you @ darr ##elli ##ssa , so nice ",['darr'],[],[],
 2020-11-18,"ok at this in wisconsin ! a day after the election , bid ##en receives a dum ##p of 143 , 379 votes at 3 : 42 ##am , when they learned he was losing bad ##ly . this is unb ##eliev ##able ",['wisconsin'],[],[],
 2020-10-26,dominion - i ##zing the vote ,['dominion'],['dominion'],['D'],"[{'label': 'neutral', 'score': 0.999885082244873}]"
 2020-11-18,dern ##a now applying for emergency vaccine approval . . @ us _ fda must act quickly ! ! ! “ operation war ##p speed has been a great modern day mira ##cle . ,['fda'],[],[],
 2020-11-19,". . and with these numbers , by far the highest for a sitting president , there was no way the dem ##s could have won , except through what we are learning now - a rig ##ged election ",[],[],[],
 2020-11-19,g jim is the greatest ,['jim'],[],[],
 2020-11-30," matter what you give to the radical left , do nothing demo ##cra ##ts , it will never be enough ",[],[],[],
 2020-11-19,ump legal team in arizona and on @ oa ##nn now . big “ stuff ” . enjoy ,"['trump', 'arizona', 'oa']",[],[],
 2020-11-12,"ousands of unc ##ount ##ed votes discovered in georgia counties . when the much more important signature match takes place , the state will flip republic ##an , and very quickly . get it done ! @ brian ##ke ##mp ##g","['georgia', 'republic']",[],[],
 2020-01-23,eat job on @ fox ##and ##frie ##nds today gia ##nc ##ar ##lo ,['fox'],['fox'],['FOXA'],"[{'label': 'neutral', 'score': 0.999854326248169}]"
 2020-11-30," was my great honor to help , a tremendous achievement ",[],[],[],
 2020-11-19,"ank you lit ##itz , pennsylvania ! make america great again ! ",['pennsylvania'],[],[],
 2020-11-19,"om 200 , 000 votes to less than 10 , 000 votes . if we can audit the total votes cast , we will easily win arizona also ",['arizona'],[],[],
 2020-11-19,"@ oa ##nn wo ##w , total election corruption in arizona . hearing on now ! why is ##n ’ t @ fox ##new ##s covering the arizona hearings ","['arizona', 'fox', 'arizona']",['fox'],['FOXA'],"[{'label': 'neutral', 'score': 0.9970360994338989}]"
 2020-10-26,. . and neither am i ,[],[],[],
